ticker,year_qtr,error
YRCW,2015_Q4,no_filings_found_or_downloaded
CCEP,2016_Q2,no_filings_found_or_downloaded
FOE,2014_Q2,no_filings_found_or_downloaded
FOE,2015_Q4,no_filings_found_or_downloaded
FOE,2015_Q2,no_filings_found_or_downloaded
FOE,2012_Q2,no_filings_found_or_downloaded
MT,2012_Q4,no_filings_found_or_downloaded
MT,2014_Q1,no_filings_found_or_downloaded
BAK,2014_Q3,no_filings_found_or_downloaded
BAK,2015_Q4,no_filings_found_or_downloaded
CXO,2012_Q2,no_filings_found_or_downloaded
CXO,2015_Q3,no_filings_found_or_downloaded
CXO,2014_Q3,no_filings_found_or_downloaded
CXO,2012_Q3,no_filings_found_or_downloaded
CXO,2016_Q3,no_filings_found_or_downloaded
BLL,2015_Q2,no_filings_found_or_downloaded
BLL,2012_Q2,no_filings_found_or_downloaded
BLL,2015_Q4,no_filings_found_or_downloaded
BLL,2013_Q3,no_filings_found_or_downloaded
BLL,2016_Q3,no_filings_found_or_downloaded
PHI,2014_Q3,no_filings_found_or_downloaded
PHI,2013_Q4,no_filings_found_or_downloaded
PHI,2013_Q1,no_filings_found_or_downloaded
PHI,2011_Q4,no_filings_found_or_downloaded
PHI,2011_Q1,no_filings_found_or_downloaded
PHI,2016_Q4,no_filings_found_or_downloaded
PHI,2016_Q2,no_filings_found_or_downloaded
BRFS,2015_Q2,no_filings_found_or_downloaded
BRFS,2013_Q2,no_filings_found_or_downloaded
BRFS,2014_Q2,no_filings_found_or_downloaded
BRFS,2012_Q2,no_filings_found_or_downloaded
BIDU,2015_Q2,no_filings_found_or_downloaded
BIDU,2013_Q3,no_filings_found_or_downloaded
BIDU,2012_Q4,no_filings_found_or_downloaded
CBB,2013_Q1,no_filings_found_or_downloaded
CBB,2014_Q2,no_filings_found_or_downloaded
CBB,2015_Q3,no_filings_found_or_downloaded
CBB,2015_Q1,no_filings_found_or_downloaded
CBB,2016_Q3,no_filings_found_or_downloaded
CBB,2012_Q2,no_filings_found_or_downloaded
ARCO,2012_Q2,no_filings_found_or_downloaded
ARCO,2013_Q3,no_filings_found_or_downloaded
ARCO,2016_Q1,no_filings_found_or_downloaded
ARCO,2015_Q2,no_filings_found_or_downloaded
NM,2015_Q2,no_filings_found_or_downloaded
NM,2016_Q2,no_filings_found_or_downloaded
NM,2012_Q4,no_filings_found_or_downloaded
NM,2011_Q4,no_filings_found_or_downloaded
NM,2013_Q4,no_filings_found_or_downloaded
NM,2011_Q1,no_filings_found_or_downloaded
CDK,2015_Q4,no_filings_found_or_downloaded
CDK,2016_Q4,no_filings_found_or_downloaded
BTE,2016_Q1,no_filings_found_or_downloaded
BTE,2014_Q1,no_filings_found_or_downloaded
BTE,2014_Q3,no_filings_found_or_downloaded
BTE,2012_Q3,no_filings_found_or_downloaded
CVE,2015_Q2,no_filings_found_or_downloaded
CVE,2012_Q2,no_filings_found_or_downloaded
CVE,2013_Q1,no_filings_found_or_downloaded
CVE,2016_Q1,no_filings_found_or_downloaded
CVE,2016_Q3,no_filings_found_or_downloaded
CVE,2013_Q3,no_filings_found_or_downloaded
CVE,2011_Q1,no_filings_found_or_downloaded
FTS,2016_Q4,no_filings_found_or_downloaded
FTS,2016_Q1,no_filings_found_or_downloaded
IO,2016_Q4,no_filings_found_or_downloaded
IO,2016_Q1,no_filings_found_or_downloaded
IO,2013_Q4,no_filings_found_or_downloaded
IO,2013_Q2,no_filings_found_or_downloaded
IO,2014_Q4,no_filings_found_or_downloaded
CTB,2014_Q3,no_filings_found_or_downloaded
CTB,2015_Q3,no_filings_found_or_downloaded
PRAH,2014_Q3,no_filings_found_or_downloaded
PRAH,2015_Q3,no_filings_found_or_downloaded
FCAU,2016_Q2,no_filings_found_or_downloaded
FCAU,2015_Q2,no_filings_found_or_downloaded
KGC,2015_Q1,no_filings_found_or_downloaded
KGC,2016_Q1,no_filings_found_or_downloaded
KGC,2014_Q1,no_filings_found_or_downloaded
HFC,2015_Q2,no_filings_found_or_downloaded
HFC,2015_Q3,no_filings_found_or_downloaded
HFC,2014_Q2,no_filings_found_or_downloaded
HFC,2012_Q2,no_filings_found_or_downloaded
HFC,2013_Q2,no_filings_found_or_downloaded
HFC,2016_Q4,no_filings_found_or_downloaded
OSB,2015_Q4,no_filings_found_or_downloaded
QEP,2013_Q4,no_filings_found_or_downloaded
QEP,2016_Q1,no_filings_found_or_downloaded
QEP,2011_Q3,no_filings_found_or_downloaded
QEP,2014_Q4,no_filings_found_or_downloaded
QEP,2016_Q3,no_filings_found_or_downloaded
QEP,2012_Q3,no_filings_found_or_downloaded
OAS,2016_Q1,no_filings_found_or_downloaded
OAS,2014_Q3,no_filings_found_or_downloaded
OAS,2014_Q1,no_filings_found_or_downloaded
OAS,2012_Q2,no_filings_found_or_downloaded
CLGX,2016_Q3,no_filings_found_or_downloaded
CLGX,2011_Q2,no_filings_found_or_downloaded
CLGX,2011_Q3,no_filings_found_or_downloaded
CLGX,2016_Q1,no_filings_found_or_downloaded
CLGX,2015_Q1,no_filings_found_or_downloaded
CLGX,2013_Q2,no_filings_found_or_downloaded
CLGX,2013_Q3,no_filings_found_or_downloaded
NGD,2014_Q4,no_filings_found_or_downloaded
NGD,2012_Q2,no_filings_found_or_downloaded
NGD,2012_Q4,no_filings_found_or_downloaded
NGD,2014_Q1,no_filings_found_or_downloaded
NGD,2015_Q3,no_filings_found_or_downloaded
NGD,2016_Q4,no_filings_found_or_downloaded
IGT,2014_Q3,no_filings_found_or_downloaded
IGT,2015_Q4,no_filings_found_or_downloaded
ENIA,2016_Q4,no_filings_found_or_downloaded
ENIA,2015_Q4,no_filings_found_or_downloaded
BEP,2016_Q2,no_filings_found_or_downloaded
BEP,2016_Q3,no_filings_found_or_downloaded
ADSW,2016_Q4,no_filings_found_or_downloaded
PSXP,2016_Q4,no_filings_found_or_downloaded
PSXP,2015_Q1,no_filings_found_or_downloaded
PSXP,2015_Q4,no_filings_found_or_downloaded
STM,2013_Q1,no_filings_found_or_downloaded
STM,2013_Q3,no_filings_found_or_downloaded
STM,2016_Q1,no_filings_found_or_downloaded
STM,2014_Q3,no_filings_found_or_downloaded
STM,2016_Q4,no_filings_found_or_downloaded
STM,2012_Q2,no_filings_found_or_downloaded
CKH,2016_Q1,no_filings_found_or_downloaded
CKH,2014_Q2,no_filings_found_or_downloaded
CKH,2014_Q4,no_filings_found_or_downloaded
CKH,2012_Q2,no_filings_found_or_downloaded
AMAG,2015_Q4,no_filings_found_or_downloaded
AMAG,2016_Q4,no_filings_found_or_downloaded
HRC,2015_Q3,no_filings_found_or_downloaded
HRC,2016_Q4,no_filings_found_or_downloaded
HRC,2015_Q2,no_filings_found_or_downloaded
ERJ,2012_Q2,no_filings_found_or_downloaded
ERJ,2016_Q2,no_filings_found_or_downloaded
ASNA,2015_Q2,no_filings_found_or_downloaded
ASNA,2016_Q2,no_filings_found_or_downloaded
EGO,2016_Q1,no_filings_found_or_downloaded
EGO,2016_Q3,no_filings_found_or_downloaded
EGO,2014_Q3,no_filings_found_or_downloaded
EGO,2013_Q3,no_filings_found_or_downloaded
NOK,2011_Q3,no_filings_found_or_downloaded
NOK,2011_Q2,no_filings_found_or_downloaded
NOK,2014_Q2,no_filings_found_or_downloaded
NOK,2012_Q3,no_filings_found_or_downloaded
CFX,2015_Q2,no_filings_found_or_downloaded
CFX,2016_Q4,no_filings_found_or_downloaded
CFX,2016_Q1,no_filings_found_or_downloaded
CFX,2013_Q4,no_filings_found_or_downloaded
CFX,2013_Q1,no_filings_found_or_downloaded
VIV,2012_Q3,no_filings_found_or_downloaded
CPAC,2015_Q1,no_filings_found_or_downloaded
BP,2012_Q2,no_filings_found_or_downloaded
INFO,2016_Q3,no_filings_found_or_downloaded
INFO,2016_Q2,no_filings_found_or_downloaded
MDCA,2016_Q1,no_filings_found_or_downloaded
MDCA,2016_Q4,no_filings_found_or_downloaded
HCHC,2014_Q4,no_filings_found_or_downloaded
HCHC,2016_Q4,no_filings_found_or_downloaded
